SYEAR,SMTH,LF_STAT,NAICS_5,_COUNT_
,,,,108416500
,,,01100,60250
,,,01111,15000
,,,01112,38750
,,,01113,146500
,,,01114,316500
,,,01119,69000
,,,01121,124750
,,,01123,61750
,,,01124,1750
,,,01125,61500
,,,01129,109750
,,,01131,4000
,,,01132,10500
,,,01133,408750
,,,01141,73000
,,,01151,14250
,,,01152,18500
,,,01153,305250
,,,02100,130000
,,,02111,196750
,,,02121,191000
,,,02122,285000
,,,02123,69250
,,,02131,303250
,,,02211,399500
,,,02212,110500
,,,02213,113750
,,,02361,2717500
,,,02362,518500
,,,02371,268250
,,,02372,127750
,,,02373,450250
,,,02379,113500
,,,02381,935250
,,,02382,2259000
,,,02383,1234750
,,,02389,639250
,,,03111,41500
,,,03112,9250
,,,03113,59250
,,,03114,68250
,,,03115,107750
,,,03116,181000
,,,03117,89750
,,,03118,295750
,,,03119,282250
,,,03121,420250
,,,03122,8000
,,,03123,46000
,,,03132,12500
,,,03133,750
,,,03141,15250
,,,03149,34250
,,,03151,2750
,,,03152,135250
,,,03159,6000
,,,03161,250
,,,03162,4000
,,,03169,11500
,,,03211,549250
,,,03212,123250
,,,03219,255000
,,,03221,376000
,,,03222,71250
,,,03231,182250
,,,03241,31250
,,,03251,27250
,,,03252,4250
,,,03253,14750
,,,03254,163250
,,,03255,34500
,,,03256,86500
,,,03259,3250
,,,03261,210500
,,,03262,19250
,,,03271,6500
,,,03272,45250
,,,03273,95750
,,,03274,1750
,,,03279,35000
,,,03311,31000
,,,03312,22500
,,,03313,91000
,,,03314,50250
,,,03315,33000
,,,03321,5500
,,,03322,6250
,,,03323,166500
,,,03324,15500
,,,03325,3000
,,,03326,9250
,,,03327,153750
,,,03328,22250
,,,03329,72750
,,,03331,85500
,,,03332,86500
,,,03333,41250
,,,03334,61250
,,,03335,27000
,,,03336,15500
,,,03339,143250
,,,03341,19000
,,,03342,72250
,,,03343,16250
,,,03344,74750
,,,03345,81000
,,,03346,2750
,,,03351,27000
,,,03352,4000
,,,03353,52750
,,,03359,140250
,,,03361,49000
,,,03362,59500
,,,03363,39000
,,,03364,154750
,,,03365,750
,,,03366,184000
,,,03369,22250
,,,03371,295500
,,,03372,19250
,,,03379,22500
,,,03391,83250
,,,03399,406250
,,,04111,48250
,,,04121,63500
,,,04131,454500
,,,04132,127750
,,,04133,21500
,,,04134,3750
,,,04141,77500
,,,04142,32250
,,,04143,31250
,,,04144,94500
,,,04145,123500
,,,04151,135250
,,,04152,96500
,,,04153,1250
,,,04161,281250
,,,04162,47250
,,,04163,359000
,,,04171,47500
,,,04172,339000
,,,04173,183750
,,,04179,313500
,,,04181,160250
,,,04182,52750
,,,04183,78500
,,,04184,60750
,,,04189,284250
,,,04411,883500
,,,04412,167250
,,,04413,322250
,,,04421,291500
,,,04422,145500
,,,04431,457000
,,,04441,772750
,,,04442,91500
,,,04451,2767500
,,,04452,329000
,,,04453,312250
,,,04461,1291750
,,,04471,191000
,,,04481,1270750
,,,04482,89750
,,,04483,135000
,,,04511,566500
,,,04513,107500
,,,04521,496250
,,,04529,730250
,,,04531,72250
,,,04532,212750
,,,04533,207500
,,,04539,803750
,,,04541,543500
,,,04542,6250
,,,04543,126000
,,,04811,367250
,,,04812,76750
,,,04821,226500
,,,04831,254750
,,,04832,15500
,,,04841,891000
,,,04842,415750
,,,04851,421750
,,,04852,5250
,,,04853,293250
,,,04854,39750
,,,04855,29750
,,,04859,21250
,,,04861,22500
,,,04862,7250
,,,04869,2750
,,,04871,4250
,,,04872,35250
,,,04879,8750
,,,04881,320500
,,,04882,15000
,,,04883,322500
,,,04884,213500
,,,04885,236000
,,,04889,1250
,,,04911,374250
,,,04921,332000
,,,04922,290250
,,,04931,366000
,,,05111,186750
,,,05112,317250
,,,05121,1197500
,,,05122,48250
,,,05151,111250
,,,05152,6000
,,,05173,648750
,,,05174,7500
,,,05179,31250
,,,05182,81250
,,,05191,187000
,,,05221,1448500
,,,05222,85250
,,,05223,204250
,,,05231,146250
,,,05232,5500
,,,05239,751250
,,,05241,876000
,,,05242,647250
,,,05261,7250
,,,05269,4000
,,,05311,562250
,,,05312,907500
,,,05313,395750
,,,05321,115500
,,,05322,44250
,,,05323,3500
,,,05324,150250
,,,05331,1500
,,,05411,1158000
,,,05412,1239250
,,,05413,1893500
,,,05414,448000
,,,05415,3390750
,,,05416,958500
,,,05417,381250
,,,05418,515500
,,,05419,536500
,,,05611,500
,,,05613,226500
,,,05614,299500
,,,05615,318750
,,,05616,544500
,,,05617,1977000
,,,05619,151750
,,,05621,177500
,,,05622,86500
,,,05629,49000
,,,06111,4163250
,,,06112,630250
,,,06113,1898500
,,,06114,24750
,,,06115,62000
,,,06116,1140750
,,,06117,96500
,,,06211,993750
,,,06212,792250
,,,06213,1014750
,,,06214,374750
,,,06215,175000
,,,06216,226000
,,,06219,193750
,,,06220,5252250
,,,06230,2017750
,,,06241,1805000
,,,06242,97250
,,,06243,107500
,,,06244,996000
,,,07111,158750
,,,07112,102250
,,,07113,75750
,,,07114,38500
,,,07115,468750
,,,07121,186000
,,,07131,16500
,,,07132,340500
,,,07139,1518750
,,,07211,1125250
,,,07212,116750
,,,07213,18250
,,,07223,370500
,,,07224,166750
,,,07225,6015250
,,,08111,813500
,,,08112,74000
,,,08113,376250
,,,08114,198250
,,,08121,973000
,,,08122,51000
,,,08123,90750
,,,08129,218500
,,,08131,404250
,,,08132,121250
,,,08133,76000
,,,08134,242500
,,,08139,267750
,,,08141,289750
,,,09110,1754750
,,,09111,156250
,,,09120,1531750
,,,09130,1779250
,,,09141,125250
,,,09191,1250
,,Employed,,98442500
,,Employed,01100,43000
,,Employed,01111,11250
,,Employed,01112,26500
,,Employed,01113,86500
,,Employed,01114,259750
,,Employed,01119,62250
,,Employed,01121,119250
,,Employed,01123,57500
,,Employed,01124,1750
,,Employed,01125,56250
,,Employed,01129,95500
,,Employed,01131,3250
,,Employed,01132,4500
,,Employed,01133,348000
,,Employed,01141,63000
,,Employed,01151,5500
,,Employed,01152,16500
,,Employed,01153,241250
,,Employed,02100,116000
,,Employed,02111,179000
,,Employed,02121,187000
,,Employed,02122,275500
,,Employed,02123,63750
,,Employed,02131,273250
,,Employed,02211,376000
,,Employed,02212,106750
,,Employed,02213,106500
,,Employed,02361,2470250
,,Employed,02362,483250
,,Employed,02371,234750
,,Employed,02372,120250
,,Employed,02373,386000
,,Employed,02379,100500
,,Employed,02381,835000
,,Employed,02382,2075000
,,Employed,02383,1104750
,,Employed,02389,563750
,,Employed,03111,38250
,,Employed,03112,8500
,,Employed,03113,50500
,,Employed,03114,63750
,,Employed,03115,104000
,,Employed,03116,156000
,,Employed,03117,75750
,,Employed,03118,267500
,,Employed,03119,257750
,,Employed,03121,370000
,,Employed,03122,7250
,,Employed,03123,36000
,,Employed,03132,6000
,,Employed,03133,750
,,Employed,03141,15250
,,Employed,03149,28500
,,Employed,03151,2250
,,Employed,03152,118750
,,Employed,03159,6000
,,Employed,03161,250
,,Employed,03162,4000
,,Employed,03169,11500
,,Employed,03211,489500
,,Employed,03212,119750
,,Employed,03219,232000
,,Employed,03221,321750
,,Employed,03222,67750
,,Employed,03231,170250
,,Employed,03241,30500
,,Employed,03251,24250
,,Employed,03252,4000
,,Employed,03253,14250
,,Employed,03254,149500
,,Employed,03255,32750
,,Employed,03256,70750
,,Employed,03259,3250
,,Employed,03261,190500
,,Employed,03262,19250
,,Employed,03271,5750
,,Employed,03272,43000
,,Employed,03273,89500
,,Employed,03274,750
,,Employed,03279,31500
,,Employed,03311,30500
,,Employed,03312,19250
,,Employed,03313,86250
,,Employed,03314,49500
,,Employed,03315,31750
,,Employed,03321,1750
,,Employed,03322,5750
,,Employed,03323,146250
,,Employed,03324,14500
,,Employed,03325,3000
,,Employed,03326,9000
,,Employed,03327,140750
,,Employed,03328,20250
,,Employed,03329,69250
,,Employed,03331,77750
,,Employed,03332,75250
,,Employed,03333,39250
,,Employed,03334,58250
,,Employed,03335,26500
,,Employed,03336,14250
,,Employed,03339,140250
,,Employed,03341,19000
,,Employed,03342,62000
,,Employed,03343,15250
,,Employed,03344,72000
,,Employed,03345,78750
,,Employed,03346,2750
,,Employed,03351,26250
,,Employed,03352,4000
