SYEAR,SMTH,FTPT,NAICS_5,_COUNT_
,,,,153064000
,,,1100,60250
,,,1111,25500
,,,1112,94500
,,,1113,220500
,,,1114,388500
,,,1119,112500
,,,1121,244750
,,,1122,2250
,,,1123,119500
,,,1124,7250
,,,1125,116500
,,,1129,129750
,,,1131,10750
,,,1132,2500
,,,1133,706500
,,,1141,145500
,,,1142,1250
,,,1151,45500
,,,1152,47500
,,,1153,410250
,,,2100,111500
,,,2111,304500
,,,2121,350500
,,,2122,451500
,,,2123,83250
,,,2131,452000
,,,2211,631750
,,,2212,104250
,,,2213,156000
,,,2361,3825500
,,,2362,847000
,,,2371,420500
,,,2372,377500
,,,2373,597500
,,,2379,136500
,,,2381,1640750
,,,2382,3393250
,,,2383,1919250
,,,2389,917000
,,,3111,58500
,,,3112,18000
,,,3113,108750
,,,3114,118250
,,,3115,145250
,,,3116,352250
,,,3117,153000
,,,3118,438500
,,,3119,314000
,,,3121,446500
,,,3122,14000
,,,3123,11250
,,,3131,2750
,,,3132,5000
,,,3133,1250
,,,3141,18250
,,,3149,60500
,,,3151,1500
,,,3152,208500
,,,3159,19000
,,,3161,250
,,,3162,10500
,,,3169,8750
,,,3211,948500
,,,3212,250250
,,,3219,390750
,,,3221,500250
,,,3222,88500
,,,3231,310250
,,,3241,52000
,,,3251,50500
,,,3252,10750
,,,3253,24000
,,,3254,230250
,,,3255,31000
,,,3256,77000
,,,3259,53500
,,,3261,279500
,,,3262,30000
,,,3271,7250
,,,3272,103250
,,,3273,212500
,,,3274,16250
,,,3279,79750
,,,3311,32750
,,,3312,15250
,,,3313,139000
,,,3314,109750
,,,3315,19750
,,,3321,11500
,,,3322,26000
,,,3323,387250
,,,3324,30250
,,,3325,10500
,,,3326,23000
,,,3327,163750
,,,3328,18500
,,,3329,113000
,,,3331,106750
,,,3332,125000
,,,3333,51250
,,,3334,97750
,,,3335,39250
,,,3336,28250
,,,3339,140000
,,,3341,47750
,,,3342,75000
,,,3343,10000
,,,3344,207250
,,,3345,112250
,,,3346,14500
,,,3351,52000
,,,3352,13750
,,,3353,89000
,,,3359,129000
,,,3361,15750
,,,3362,98000
,,,3363,66750
,,,3364,184250
,,,3365,1500
,,,3366,246750
,,,3369,16250
,,,3371,411500
,,,3372,23250
,,,3379,31750
,,,3391,174750
,,,3399,575750
,,,4111,68500
,,,4121,68500
,,,4131,688000
,,,4132,164250
,,,4133,35000
,,,4141,126500
,,,4142,55250
,,,4143,70500
,,,4144,108000
,,,4145,219750
