SYEAR,SMTH,LF_STAT,NAICS_5,_COUNT_
,,,,171759750
,,,1100,86000
,,,1111,32000
,,,1112,117000
,,,1113,405500
,,,1114,495500
,,,1119,133500
,,,1121,268000
,,,1122,2500
,,,1123,136000
,,,1124,8000
,,,1125,125250
,,,1129,145000
,,,1131,11250
,,,1132,4500
,,,1133,839250
,,,1141,200750
,,,1142,1250
,,,1151,66250
,,,1152,53750
,,,1153,520750
,,,2100,121000
,,,2111,345250
,,,2121,364250
,,,2122,479000
,,,2123,99750
,,,2131,537750
,,,2211,654250
,,,2212,108000
,,,2213,160250
,,,2361,4328250
,,,2362,965750
,,,2371,521500
,,,2372,400250
,,,2373,704250
,,,2379,160750
,,,2381,1808500
,,,2382,3711000
,,,2383,2126750
,,,2389,1026750
,,,3111,71750
,,,3112,22000
,,,3113,132750
,,,3114,145250
,,,3115,160250
,,,3116,370750
,,,3117,202750
,,,3118,510250
,,,3119,360250
,,,3121,507500
,,,3122,15750
,,,3123,14750
,,,3131,3000
,,,3132,6500
,,,3133,1250
,,,3141,19500
,,,3149,62000
,,,3151,1500
,,,3152,227750
,,,3159,29250
,,,3161,500
,,,3162,15000
,,,3169,12750
,,,3211,1043500
,,,3212,269500
,,,3219,445750
,,,3221,550250
,,,3222,92250
,,,3231,338500
,,,3241,59250
,,,3251,51500
,,,3252,13750
,,,3253,26000
,,,3254,251000
,,,3255,33000
,,,3256,91500
,,,3259,59250
,,,3261,290000
,,,3262,31000
,,,3271,9000
,,,3272,116750
,,,3273,224000
,,,3274,16750
,,,3279,87750
,,,3311,38250
,,,3312,16500
,,,3313,151250
,,,3314,113000
,,,3315,22250
,,,3321,11500
,,,3322,27500
,,,3323,416500
,,,3324,32000
,,,3325,10500
,,,3326,24000
,,,3327,178250
,,,3328,21000
,,,3329,122250
,,,3331,122250
,,,3332,132250
,,,3333,53500
,,,3334,106000
,,,3335,41750
,,,3336,30500
,,,3339,153000
,,,3341,58000
,,,3342,82000
,,,3343,10500
,,,3344,221000
,,,3345,119750
,,,3346,14500
,,,3351,53500
,,,3352,14000
,,,3353,91000
,,,3359,131000
,,,3361,17750
,,,3362,104500
,,,3363,74000
,,,3364,194000
,,,3365,1750
,,,3366,269000
,,,3369,16000
,,,3371,448250
,,,3372,29750
,,,3379,37000
,,,3391,189750
,,,3399,645000
,,,4111,71750
,,,4121,76750
,,,4131,760000
,,,4132,178500
,,,4133,35250
,,,4141,128750
,,,4142,57000
,,,4143,73250
,,,4144,113250
,,,4145,227500
,,,4151,190000
,,,4152,143500
,,,4153,18750
,,,4161,383000
,,,4162,93250
,,,4163,524500
,,,4171,69750
,,,4172,602750
,,,4173,313750
,,,4179,531500
,,,4181,260500
,,,4182,80250
,,,4183,108250
,,,4184,106500
,,,4189,489000
,,,4191,14000
,,,4411,1533750
,,,4412,293250
,,,4413,503000
,,,4421,371750
,,,4422,342500
,,,4431,991250
,,,4441,1106250
,,,4442,137250
,,,4451,4323000
,,,4452,585500
,,,4453,485500
,,,4461,1786250
,,,4471,511750
,,,4481,1808750
,,,4482,254750
,,,4483,215000
,,,4511,933500
,,,4513,96500
,,,4521,946500
,,,4529,879000
,,,4531,101000
,,,4532,311000
,,,4533,360500
,,,4539,958000
,,,4541,414000
,,,4542,34500
,,,4543,259750
,,,4811,721750
,,,4812,197000
,,,4821,362250
,,,4831,466500
,,,4832,13250
,,,4841,1448250
,,,4842,1091750
,,,4851,722500
,,,4852,21750
,,,4853,430750
,,,4854,132000
,,,4855,33000
,,,4859,76250
,,,4861,30750
,,,4862,8000
,,,4869,250
,,,4871,90750
,,,4872,67250
,,,4879,5750
,,,4881,510750
,,,4882,21000
,,,4883,432500
,,,4884,318000
,,,4885,329500
,,,4889,4250
,,,4911,536000
,,,4921,483500
,,,4922,162500
,,,4931,622500
,,,5111,406000
,,,5112,526500
,,,5121,1575500
,,,5122,54250
,,,5151,147750
,,,5152,1500
,,,5173,968500
,,,5174,8750
,,,5179,36250
,,,5182,169500
,,,5191,278000
,,,5221,2441250
,,,5222,119750
,,,5223,367250
,,,5231,281000
,,,5232,5750
,,,5239,1092250
,,,5241,1151750
,,,5242,886000
,,,5261,5500
,,,5269,3250
,,,5311,1023250
,,,5312,1529000
,,,5313,621750
,,,5321,173500
,,,5322,143250
,,,5323,9500
,,,5324,160250
,,,5331,5000
,,,5411,1625000
,,,5412,1750250
,,,5413,2854250
,,,5414,691250
,,,5415,3583250
,,,5416,1595750
,,,5417,428500
,,,5418,708500
,,,5419,813750
,,,5611,4250
,,,5612,4500
,,,5613,623250
,,,5614,678750
,,,5615,785250
,,,5616,1097250
,,,5617,3310500
,,,5619,322500
,,,5621,175000
,,,5622,174750
,,,5629,134500
,,,6111,6418000
,,,6112,856500
,,,6113,2522000
,,,6114,24000
,,,6115,95250
,,,6116,1901250
,,,6117,136250
,,,6211,1708000
,,,6212,1118250
,,,6213,1387250
,,,6214,611500
,,,6215,270250
,,,6216,575750
,,,6219,258000
,,,6220,7079250
,,,6230,3504500
,,,6241,2503500
,,,6242,192000
,,,6243,148000
,,,6244,1433750
,,,7111,264000
,,,7112,195250
,,,7113,183000
,,,7114,73250
,,,7115,844500
,,,7121,316750
,,,7131,75000
,,,7132,608750
,,,7139,2612250
,,,7211,2198500
,,,7212,260750
,,,7213,37000
,,,7223,569750
,,,7224,356500
,,,7225,10378500
,,,8111,1345750
,,,8112,191250
,,,8113,587000
,,,8114,307500
,,,8121,1916500
,,,8122,150500
,,,8123,220000
,,,8129,468750
,,,8131,636250
,,,8132,183000
,,,8133,97500
,,,8134,340500
,,,8139,527500
,,,8141,711000
,,,9110,2351500
,,,9111,219750
,,,9120,2240250
,,,9130,2384500
,,,9141,147750
,,,9191,13500
,,Employed,,153064000
,,Employed,1100,60250
,,Employed,1111,25500
,,Employed,1112,94500
,,Employed,1113,220500
,,Employed,1114,388500
,,Employed,1119,112250
,,Employed,1121,244750
,,Employed,1122,2000
,,Employed,1123,119250
,,Employed,1124,7000
,,Employed,1125,116500
,,Employed,1129,130000
,,Employed,1131,11000
,,Employed,1132,2500
,,Employed,1133,706500
,,Employed,1141,145500
,,Employed,1142,1250
,,Employed,1151,45500
,,Employed,1152,47750
,,Employed,1153,410500
,,Employed,2100,111750
,,Employed,2111,304500
,,Employed,2121,350500
,,Employed,2122,451500
,,Employed,2123,83250
,,Employed,2131,452000
,,Employed,2211,631500
,,Employed,2212,104000
,,Employed,2213,156000
,,Employed,2361,3825500
,,Employed,2362,846750
,,Employed,2371,420500
,,Employed,2372,377500
,,Employed,2373,597750
,,Employed,2379,136500
,,Employed,2381,1640750
,,Employed,2382,3393000
,,Employed,2383,1919000
,,Employed,2389,917000
,,Employed,3111,58250
,,Employed,3112,18000
,,Employed,3113,108500
,,Employed,3114,118000
,,Employed,3115,145500
,,Employed,3116,352250
,,Employed,3117,153000
,,Employed,3118,438500
,,Employed,3119,314000
,,Employed,3121,446500
,,Employed,3122,14000
,,Employed,3123,11500
,,Employed,3131,2750
,,Employed,3132,5000
,,Employed,3133,1250
,,Employed,3141,18250
,,Employed,3149,60750
,,Employed,3151,1500
,,Employed,3152,208500
,,Employed,3159,19250
,,Employed,3161,500
,,Employed,3162,10250
,,Employed,3169,9000
,,Employed,3211,948500
,,Employed,3212,250250
,,Employed,3219,391000
,,Employed,3221,500000
,,Employed,3222,88500
,,Employed,3231,310250
,,Employed,3241,52000
,,Employed,3251,50500
,,Employed,3252,10750
,,Employed,3253,23750
,,Employed,3254,230500
,,Employed,3255,31000
,,Employed,3256,77000
,,Employed,3259,53250
,,Employed,3261,279250
,,Employed,3262,29750
,,Employed,3271,7500
,,Employed,3272,103250
,,Employed,3273,212750
,,Employed,3274,16000
,,Employed,3279,80000
,,Employed,3311,32750
,,Employed,3312,15250
,,Employed,3313,138750
,,Employed,3314,109500
,,Employed,3315,19750
,,Employed,3321,11500
,,Employed,3322,26000
,,Employed,3323,387250
,,Employed,3324,30250
,,Employed,3325,10500
,,Employed,3326,23000
,,Employed,3327,163750
,,Employed,3328,18500
,,Employed,3329,112750
,,Employed,3331,107000
,,Employed,3332,124750
,,Employed,3333,51250
,,Employed,3334,98000
,,Employed,3335,39000
,,Employed,3336,28250
,,Employed,3339,140250
,,Employed,3341,47500
,,Employed,3342,75000
,,Employed,3343,10250
,,Employed,3344,207250
,,Employed,3345,112250
,,Employed,3346,14500
,,Employed,3351,52000
,,Employed,3352,14000
,,Employed,3353,89000
,,Employed,3359,129000
,,Employed,3361,16000
,,Employed,3362,98000
,,Employed,3363,66500
,,Employed,3364,184000
,,Employed,3365,1250
,,Employed,3366,246500
,,Employed,3369,16000
,,Employed,3371,411500
,,Employed,3372,23250
,,Employed,3379,31750
,,Employed,3391,174750
,,Employed,3399,576000
,,Employed,4111,68500
,,Employed,4121,68500
,,Employed,4131,688000
,,Employed,4132,164500
,,Employed,4133,35000
,,Employed,4141,126250
,,Employed,4142,55000
,,Employed,4143,70500
,,Employed,4144,108250
,,Employed,4145,219750
,,Employed,4151,188000
,,Employed,4152,136750
,,Employed,4153,16000
,,Employed,4161,363000
,,Employed,4162,89500
,,Employed,4163,493250
,,Employed,4171,67000
,,Employed,4172,574000
,,Employed,4173,294250
,,Employed,4179,492000
,,Employed,4181,232750
,,Employed,4182,71500
,,Employed,4183,101000
,,Employed,4184,103750
,,Employed,4189,442250
,,Employed,4191,14000
,,Employed,4411,1404500
,,Employed,4412,270250
,,Employed,4413,446750
,,Employed,4421,325250
,,Employed,4422,296000
,,Employed,4431,883250
,,Employed,4441,987250
,,Employed,4442,115250
,,Employed,4451,3796500
,,Employed,4452,503250
,,Employed,4453,435250
,,Employed,4461,1572500
,,Employed,4471,449000
,,Employed,4481,1468750
,,Employed,4482,213500
,,Employed,4483,174750
,,Employed,4511,795750
,,Employed,4513,79000
,,Employed,4521,784750
,,Employed,4529,772000
,,Employed,4531,75000
,,Employed,4532,265750
,,Employed,4533,297750
,,Employed,4539,794750
,,Employed,4541,386250
,,Employed,4542,32500
,,Employed,4543,225250
,,Employed,4811,653750
,,Employed,4812,169500
,,Employed,4821,342750
,,Employed,4831,418500
,,Employed,4832,12000
,,Employed,4841,1333500
,,Employed,4842,977250
,,Employed,4851,698750
,,Employed,4852,19000
,,Employed,4853,399500
,,Employed,4854,109750
,,Employed,4855,30500
,,Employed,4859,68250
,,Employed,4861,24250
,,Employed,4862,7500
,,Employed,4869,0
,,Employed,4871,44750
,,Employed,4872,48000
,,Employed,4879,4250
,,Employed,4881,471500
,,Employed,4882,20750
,,Employed,4883,398000
,,Employed,4884,277250
,,Employed,4885,308250
,,Employed,4889,3250
,,Employed,4911,498500
,,Employed,4921,441750
,,Employed,4922,135000
,,Employed,4931,543500
,,Employed,5111,349750
,,Employed,5112,500250
,,Employed,5121,1308000
,,Employed,5122,54250
,,Employed,5151,131500
,,Employed,5152,1500
,,Employed,5173,916000
,,Employed,5174,8250
,,Employed,5179,32750
,,Employed,5182,162500
,,Employed,5191,254750
,,Employed,5221,2290500
,,Employed,5222,107000
,,Employed,5223,355000
,,Employed,5231,273000
,,Employed,5232,5750
,,Employed,5239,1009000
,,Employed,5241,1079500
,,Employed,5242,844750
,,Employed,5261,5500
,,Employed,5269,3250
,,Employed,5311,949750
,,Employed,5312,1475000
,,Employed,5313,576000
,,Employed,5321,156750
,,Employed,5322,91000
,,Employed,5323,8250
,,Employed,5324,143750
,,Employed,5331,4250
,,Employed,5411,1521250
,,Employed,5412,1630000
,,Employed,5413,2624000
,,Employed,5414,639500
,,Employed,5415,3274750
,,Employed,5416,1476750
,,Employed,5417,379000
,,Employed,5418,636750
,,Employed,5419,753000
,,Employed,5611,4250
,,Employed,5612,4500
,,Employed,5613,495500
,,Employed,5614,593500
,,Employed,5615,674750
,,Employed,5616,1004750
,,Employed,5617,2881000
,,Employed,5619,273750
,,Employed,5621,164750
,,Employed,5622,164250
,,Employed,5629,113500
,,Employed,6111,5736750
,,Employed,6112,759750
,,Employed,6113,2160500
,,Employed,6114,22250
,,Employed,6115,82250
,,Employed,6116,1660750
,,Employed,6117,124750
,,Employed,6211,1629250
,,Employed,6212,1040750
,,Employed,6213,1310750
,,Employed,6214,583500
,,Employed,6215,252750
,,Employed,6216,531000
,,Employed,6219,245250
,,Employed,6220,6725000
,,Employed,6230,3278000
,,Employed,6241,2280000
,,Employed,6242,170000
,,Employed,6243,133250
,,Employed,6244,1242500
,,Employed,7111,230500
,,Employed,7112,156500
,,Employed,7113,95250
,,Employed,7114,63000
,,Employed,7115,788000
,,Employed,7121,230250
,,Employed,7131,34500
,,Employed,7132,539000
,,Employed,7139,1918500
,,Employed,7211,1819750
,,Employed,7212,150250
,,Employed,7213,26000
,,Employed,7223,476500
,,Employed,7224,292250
,,Employed,7225,8397000
,,Employed,8111,1241750
,,Employed,8112,178500
,,Employed,8113,540500
,,Employed,8114,284750
,,Employed,8121,1770750
,,Employed,8122,137250
,,Employed,8123,207750
,,Employed,8129,411250
,,Employed,8131,581250
,,Employed,8132,157500
,,Employed,8133,81250
,,Employed,8134,290750
,,Employed,8139,469500
,,Employed,8141,584000
,,Employed,9110,2161250
,,Employed,9111,197000
,,Employed,9120,2107500
,,Employed,9130,2186750
,,Employed,9141,121750
,,Employed,9191,10500
,,Unemployed,,6419000
,,Unemployed,1100,8000
,,Unemployed,1111,0
,,Unemployed,1112,9500
,,Unemployed,1113,74250
,,Unemployed,1114,41000
,,Unemployed,1119,4750
,,Unemployed,1121,8000
,,Unemployed,1122,0
,,Unemployed,1123,1500
,,Unemployed,1124,0
,,Unemployed,1125,2750
,,Unemployed,1129,4000
,,Unemployed,1131,0
,,Unemployed,1132,0
,,Unemployed,1133,61000
,,Unemployed,1141,21000
,,Unemployed,1142,0
,,Unemployed,1151,10000
,,Unemployed,1152,0
,,Unemployed,1153,43250
,,Unemployed,2100,2500
,,Unemployed,2111,18250
,,Unemployed,2121,6250
,,Unemployed,2122,12250
,,Unemployed,2123,9000
,,Unemployed,2131,54750
,,Unemployed,2211,5000
,,Unemployed,2212,0
,,Unemployed,2213,1000
,,Unemployed,2361,204250
,,Unemployed,2362,71500
,,Unemployed,2371,61000
,,Unemployed,2372,8250
,,Unemployed,2373,59000
