SYEAR,SMTH,FTPT,NAICS_5,_COUNT_
,,,,78731500
,,,01100,33500
,,,01111,9750
,,,01112,18250
,,,01113,69000
,,,01114,208000
,,,01119,48000
,,,01121,86000
,,,01123,50250
,,,01124,750
,,,01125,43000
,,,01129,73750
,,,01131,3250
,,,01132,3750
,,,01133,277750
,,,01141,52250
,,,01151,5000
,,,01152,14000
,,,01153,209750
,,,02100,76250
,,,02111,134750
,,,02121,140750
,,,02122,226750
,,,02123,48000
,,,02131,212000
,,,02211,305750
,,,02212,87750
,,,02213,81000
,,,02361,1976500
,,,02362,383500
,,,02371,196250
,,,02372,100000
,,,02373,335750
,,,02379,85500
,,,02381,694750
,,,02382,1669500
,,,02383,892250
,,,02389,452250
,,,03111,32750
,,,03112,6500
,,,03113,44500
,,,03114,48250
,,,03115,89750
,,,03116,122500
,,,03117,59750
,,,03118,205750
,,,03119,222250
,,,03121,288500
,,,03122,7250
,,,03123,28750
,,,03132,6000
,,,03133,500
,,,03141,11000
,,,03149,23500
,,,03151,2250
,,,03152,93000
,,,03159,3000
,,,03161,0
,,,03162,1750
,,,03169,9750
,,,03211,388750
,,,03212,104500
,,,03219,185500
,,,03221,265000
,,,03222,61500
,,,03231,147000
,,,03241,27250
,,,03251,15750
,,,03252,4000
,,,03253,10250
,,,03254,117500
,,,03255,30250
,,,03256,55500
,,,03259,1750
,,,03261,168250
,,,03262,15000
,,,03271,6000
,,,03272,33500
,,,03273,74000
,,,03274,250
,,,03279,29000
,,,03311,24250
,,,03312,16750
,,,03313,72250
,,,03314,42500
,,,03315,24500
,,,03322,6000
,,,03323,118750
,,,03324,8500
,,,03325,1250
,,,03326,8250
,,,03327,109000
,,,03328,16000
,,,03329,56000
,,,03331,70250
,,,03332,63250
,,,03333,32500
,,,03334,44500
,,,03335,26250
,,,03336,12250
,,,03339,111000
,,,03341,15500
,,,03342,51250
,,,03343,8000
,,,03344,56250
,,,03345,50000
,,,03346,2500
,,,03351,24000
,,,03352,4000
,,,03353,43000
,,,03359,104750
,,,03361,33750
,,,03362,45000
,,,03363,32250
,,,03364,133000
,,,03366,121500
,,,03369,20250
,,,03371,226750
,,,03372,15500
,,,03379,13250
,,,03391,66750
,,,03399,291000
,,,04111,39000
,,,04121,45750
,,,04131,299500
,,,04132,104000
,,,04133,18750
,,,04134,3000
,,,04141,50000
,,,04142,16000
,,,04143,16500
,,,04144,72500
,,,04145,95750
,,,04151,119250
,,,04152,64000
,,,04153,1250
,,,04161,231750
,,,04162,38000
,,,04163,278500
,,,04171,34250
,,,04172,253000
,,,04173,151250
,,,04179,220750
,,,04181,127000
,,,04182,27000
,,,04183,61500
,,,04184,37750
,,,04189,210500
