SYEAR,SMTH,LF_STAT,NAICS_5,_COUNT_
,,,04922,265000
,,,04931,299250
,,,05111,157500
,,,05112,265500
,,,05121,955750
,,,05122,28000
,,,05151,90750
,,,05152,5750
,,,05173,550500
,,,05174,3750
,,,05179,26750
,,,05182,65500
,,,05191,159000
,,,05221,1156750
,,,05222,61750
,,,05223,153500
,,,05231,116250
,,,05232,5250
,,,05239,587250
,,,05241,709750
,,,05242,557750
,,,05261,4000
,,,05269,4250
,,,05311,444750
,,,05312,700500
,,,05313,309750
,,,05321,91750
,,,05322,22750
,,,05323,2750
,,,05324,120250
,,,05331,250
,,,05411,930500
,,,05412,974250
,,,05413,1525500
,,,05414,354000
,,,05415,2667250
,,,05416,764500
,,,05417,306750
,,,05418,387750
,,,05419,417250
,,,05611,250
,,,05613,184250
,,,05614,246500
,,,05615,263500
,,,05616,451500
,,,05617,1620250
,,,05619,125000
,,,05621,135500
,,,05622,77000
,,,05629,31500
,,,06111,3258500
,,,06112,509500
,,,06113,1530750
,,,06114,22250
,,,06115,54750
,,,06116,854750
,,,06117,85500
,,,06211,786750
,,,06212,633750
,,,06213,808000
,,,06214,312500
,,,06215,154750
,,,06216,195250
,,,06219,152000
,,,06220,4093000
,,,06230,1655000
,,,06241,1432250
,,,06242,69750
,,,06243,89250
,,,06244,820750
,,,07111,123500
,,,07112,70750
,,,07113,52750
,,,07114,29250
,,,07115,387500
,,,07121,149000
,,,07131,11750
,,,07132,278000
,,,07139,1168500
,,,07211,901750
,,,07212,87750
,,,07213,16500
,,,07223,289250
,,,07224,147750
,,,07225,4806250
,,,08111,659500
,,,08112,63000
,,,08113,272750
,,,08114,147750
,,,08121,771750
,,,08122,41000
,,,08123,70000
,,,08129,161000
,,,08131,334500
,,,08132,95250
,,,08133,53500
,,,08134,199250
,,,08139,213500
,,,08141,252750
,,,09110,1451250
,,,09111,124500
,,,09120,1202750
,,,09130,1391250
,,,09141,98750
,,,09191,1000
,,Employed,,78731250
,,Employed,01100,33500
,,Employed,01111,10000
,,Employed,01112,18500
,,Employed,01113,69250
,,Employed,01114,208000
,,Employed,01119,48000
,,Employed,01121,85750
,,Employed,01123,50250
,,Employed,01124,750
,,Employed,01125,43000
,,Employed,01129,73500
,,Employed,01131,3250
,,Employed,01132,3500
,,Employed,01133,278000
,,Employed,01141,52250
,,Employed,01151,5000
,,Employed,01152,14250
,,Employed,01153,209750
,,Employed,02100,76000
,,Employed,02111,135000
,,Employed,02121,140750
,,Employed,02122,226750
,,Employed,02123,48000
,,Employed,02131,211750
,,Employed,02211,305750
,,Employed,02212,87750
,,Employed,02213,81000
,,Employed,02361,1976250
,,Employed,02362,383750
,,Employed,02371,196250
,,Employed,02372,100000
,,Employed,02373,335750
,,Employed,02379,85750
,,Employed,02381,694500
,,Employed,02382,1669500
,,Employed,02383,892500
,,Employed,02389,452250
,,Employed,03111,32750
,,Employed,03112,6250
,,Employed,03113,44500
,,Employed,03114,48250
,,Employed,03115,89750
,,Employed,03116,122500
,,Employed,03117,59750
,,Employed,03118,205500
,,Employed,03119,222000
,,Employed,03121,288500
,,Employed,03122,7250
,,Employed,03123,28750
,,Employed,03132,6000
,,Employed,03133,250
,,Employed,03141,10750
,,Employed,03149,23500
,,Employed,03151,2250
,,Employed,03152,93000
,,Employed,03159,2750
,,Employed,03161,250
,,Employed,03162,1500
,,Employed,03169,9750
,,Employed,03211,388750
,,Employed,03212,104500
,,Employed,03219,185750
,,Employed,03221,264750
,,Employed,03222,61750
,,Employed,03231,147250
,,Employed,03241,27250
,,Employed,03251,15750
,,Employed,03252,4000
,,Employed,03253,10250
,,Employed,03254,117750
,,Employed,03255,30250
,,Employed,03256,55500
,,Employed,03259,2000
,,Employed,03261,168250
,,Employed,03262,15250
,,Employed,03271,5750
,,Employed,03272,33250
,,Employed,03273,74000
,,Employed,03274,500
,,Employed,03279,29250
,,Employed,03311,24250
,,Employed,03312,17000
,,Employed,03313,72500
,,Employed,03314,42250
,,Employed,03315,24500
,,Employed,03321,0
